FECHA_CORTE,UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,NOMBRE_EMPRESA,TIPO_SERVICIO,FABRICANTE,MODELO_AERONAVE,NRO_COLA,TIPO _TREN_ATERRIZAJE,NRO_PARTE,FECHA_INICIO,FECHA_FIN,PERIODO_ATENCION,INGRESOS $
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 737 NG,,MAIN LANDING GEAR R/H,161A1100-68,16/10/23,31/10/23,15,""11,220.00"""
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 737 NG,,MAIN LANDING GEAR R/H,161A1100-68,12/10/23,31/10/23,19,""11,220.00"""
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 737 NG,,MAIN LANDING GEAR L/H,161A1100-67,12/10/23,31/10/23,19,""11,220.00"""
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 777,,MAIN LANDING GEAR L/H,161W1100-37,10/07/23,30/11/23,143,""1,200.00"""
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 777,,MAIN LANDING GEAR R/H,161A1100-38,10/07/23,30/11/23,143,""1,200.00"""
20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 777,,NOSE LANDING GEAR,161A1100-71,10/07/23,30/11/23,143,900.00
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 757,,MAIN LANDING GEAR L/H,161N1201-23,24/08/23,30/11/23,98,""19,710.00"""
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 757,,MAIN LANDING GEAR R/H,161N1201-24,24/08/23,30/11/23,98,""19,710.00"""
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 757,,NOSE LANDING GEAR,162N1101-22,24/08/23,30/11/23,98,""14,580.00"""
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 747,,RH BODY GEAR,163U1500-114,04/10/23,30/11/23,57,""20,700.00"""
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 747,,RH WING GEAR,161U1500-174,04/10/23,30/11/23,57,""20,700.00"""
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 747,,NOSE LANDING GEAR,162U1500-55,04/10/23,30/11/23,57,""20,700.00"""
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 747,,RH BODY GEAR,163U1500-92,04/10/23,30/11/23,57,""20,700.00"""
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 747,,LH BODY GEAR,163U1500-91,04/10/23,30/11/23,57,""20,700.00"""
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 747,,RH WING GEAR,161U1500-192,04/10/23,30/11/23,57,""20,700.00"""
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 747,,LH WING GEAR,161U1500-191,04/10/23,30/11/23,57,""20,700.00"""
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 747,,NOSE LANDING GEAR,162U1500-54,04/10/23,30/11/23,57,""20,700.00"""
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 737 NG,,NOSE LANDING GEAR,162A1100-9,10/10/23,30/11/23,51,""10,560.00"""
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 747,,RH BODY GEAR,163U1500-52,12/10/23,30/11/23,49,""20,700.00"""
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 747,,LH BODY GEAR,163U1500-51,12/10/23,30/11/23,49,""20,700.00"""
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 747,,RH WING GEAR,161U1500-168,12/10/23,30/11/23,49,""20,700.00"""
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 737 NG,,MAIN LANDING GEAR L/H,161A1100-67,16/10/23,30/11/23,45,""11,220.00"""
"20231130,70106,LIMA ,CALLAO ,SANTIAGO DE SURCO,SKY CAPITAL PARTNERS INC,AERONAVE ,BOEING,B737-76N,N668CP,""144 MONTHS + 72 + 24 MONTHS + 12 + 6 MONTHS,  CHECK "",B737-76N,31-10-23,21-11-23,21,""178,894.00"""
20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,ESCUELA PERUANA DE AVIACION CIVIL S.A.,CONNECTING ROD ASSEMBLY ,78030,NSK,,ANALISIS DE FALLA,78030,10-11-23,27-11-23,17,236.00
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,PANAMERICAN AVIATION SALES CORP.,PIEZAS DIVERSAS,NSK,NSK,,INSPECCION POR PRUEBAS NO DESTRUCTIVAS,VARIOS,01-12-23,06-12-23,5,""3,261.90"""
,,,,,,,,,,,,,,,
